run	treatInfo	id	treat
SRR445799_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	nurse	NursePool1_1	1
SRR445778_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	nurse	NursePool2_1	1
SRR445777_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	nurse	NursePool3_1	1
SRR445776_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	nurse	NursePool4_1	1
SRR445775_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	nurse	NursePool5_1	1
SRR445774_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	nurse	NursePool6_1	1
SRR445773_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	forager	ForagerPool1_1	0
SRR445771_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	forager	ForagerPool2_1	0
SRR445770_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	forager	ForagerPool3_1	0
SRR445769_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	forager	ForagerPool4_1	0
SRR445768_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	forager	ForagerPool5_1	0
SRR445767_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	forager	ForagerPool6_1	0
