run	treatInfo	id	treat
A1_met_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	aposymbiotic	A1	1
A2_met_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	aposymbiotic	A2	1
A3_met_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	aposymbiotic	A3	1
A4_met_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	aposymbiotic	A4	1
A5_met_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	aposymbiotic	A5	1
A6_met_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	aposymbiotic	A6	1
S1_met_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	symbiotic	S1	0
S2_met_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	symbiotic	S2	0
S3_met_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	symbiotic	S3	0
S4_met_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	symbiotic	S4	0
S5_met_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	symbiotic	S5	0
S6_met_1.trim_bismark_bt2_pe.deduplicated.bismark.cov	symbiotic	S6	0
