sample	treatment	description																					
SRR8929844_1	treated	reproductive																					
SRR8929845_1	control	sterile																					
SRR8929846_1	treated	reproductive																					
SRR8929847_1	control	sterile																					
SRR8929850_1	treated	reproductive																					
SRR8929851_1	control	sterile																					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
